ZIP CODE,MEDIAN_AGE,MEDIAN_HOME_PRICE,MEDIAN_INCOME,STUDENT_RATIO,SCHOOL_SPENDATURE
2760,39.8,362500,81259,16.8,10821
2762,43.1,366800,78516,14.9,12913
2763,33.2,393200,107083,16.8,10821
2764,45.5,333300,81067,14.3,12871
2766,41.1,335700,80806,13.6,18239
2767,40,333500,80019,17,12757
2769,43.8,406500,85691,14.3,12871
2770,46.5,405500,92656,14,13507
2771,45.3,343900,74242,14.2,21596
2777,46.5,303900,77434,13.3,12075
2779,42.7,371500,84423,14.7,12457
2780,39.7,295900,50307,15.8,13125
2790,46.7,397100,81334,15.8,12194
2791,65.8,605300,72198,15.8,12383
